Acauã,5.6
Acauã,5.6
Agricolândia,6
Agricolândia,4.7
Agricolândia,5.2
Água Branca,-
Água Branca,5.6
Água Branca,5.6
Alagoinha do Piauí,6
Alagoinha do Piauí,5.3
Alagoinha do Piauí,5.7
Alegrete do Piauí,-
Alegrete do Piauí,5
Alegrete do Piauí,5
Alto Longá,4.6
Alto Longá,5.1
Alto Longá,5
Altos,4.5
Altos,5.9
Altos,5.6
Alvorada do Gurguéia,-
Alvorada do Gurguéia,4.2
Alvorada do Gurguéia,3.2
Amarante,4.4
Amarante,4.3
Amarante,4.3
Angical do Piauí,5.1
Angical do Piauí,5.3
Angical do Piauí,5.2
Anísio de Abreu,5.4
Anísio de Abreu,4.7
Anísio de Abreu,5
Antônio Almeida,-
Antônio Almeida,5.6
Antônio Almeida,5.6
Aroazes,-
Aroazes,4.6
Aroazes,4.6
Aroeiras do Itaim,4.8
Aroeiras do Itaim,4.8
Arraial,-
Arraial,4.3
Arraial,4.3
Assunção do Piauí,4.3
Assunção do Piauí,4.3
Avelino Lopes,5.3
Avelino Lopes,3.9
Avelino Lopes,4.2
Baixa Grande do Ribeiro,-
Baixa Grande do Ribeiro,5.5
Baixa Grande do Ribeiro,5.5
Barra D'Alcântara,4.3
Barra D'Alcântara,4.3
Barras,4.6
Barras,4.7
Barras,4.6
Barreiras do Piauí,3.4
Barreiras do Piauí,-
Barreiras do Piauí,2.6
Barro Duro,-
Barro Duro,3.5
Barro Duro,3.5
Batalha,5.4
Batalha,-
Batalha,5.3
Bela Vista do Piauí,5.5
Bela Vista do Piauí,5.5
Belém do Piauí,5.1
Belém do Piauí,5.1
Beneditinos,4.7
Beneditinos,5.5
Beneditinos,5.3
Bertolínia,-
Bertolínia,4.2
Bertolínia,4.2
Betânia do Piauí,4
Betânia do Piauí,4
Boa Hora,4.5
Boa Hora,4.5
Bocaina,-
Bocaina,4.2
Bocaina,4.2
Bom Jesus,4.2
Bom Jesus,6.8
Bom Jesus,5.2
Bom Princípio do Piauí,4.4
Bom Princípio do Piauí,4.4
Bonfim do Piauí,4.9
Bonfim do Piauí,4.9
Boqueirão do Piauí,5
Boqueirão do Piauí,5
Brasileira,5.3
Brasileira,4.5
Brasileira,4.8
Brejo do Piauí,4.9
Brejo do Piauí,4.9
Buriti dos Lopes,4.9
Buriti dos Lopes,4.9
Buriti dos Lopes,4.9
Buriti dos Montes,-
Buriti dos Montes,6.5
Buriti dos Montes,6.5
Cabeceiras do Piauí,-
Cabeceiras do Piauí,4.8
Cabeceiras do Piauí,4.8
Cajazeiras do Piauí,4.3
Cajazeiras do Piauí,4.3
Cajueiro da Praia,-
Cajueiro da Praia,5.4
Cajueiro da Praia,5.4
Caldeirão Grande do Piauí,5.9
Caldeirão Grande do Piauí,5.9
Campinas do Piauí,-
Campinas do Piauí,4.3
Campinas do Piauí,4.3
Campo Alegre do Fidalgo,3.4
Campo Alegre do Fidalgo,3.4
Campo Grande do Piauí,5
Campo Grande do Piauí,5
Campo Largo do Piauí,-
Campo Largo do Piauí,3.7
Campo Largo do Piauí,3.7
Campo Maior,5.6
Campo Maior,5.2
Campo Maior,5.4
Canavieira,5
Canavieira,5
Canto do Buriti,4.8
Canto do Buriti,4.4
Canto do Buriti,4.5
Capitão de Campos,-
Capitão de Campos,3.9
Capitão de Campos,3.9
Capitão Gervásio Oliveira,4.4
Capitão Gervásio Oliveira,4.4
Caracol,4.9
Caracol,-
Caracol,3.6
Caraúbas do Piauí,3.2
Caraúbas do Piauí,3.2
Caridade do Piauí,5.2
Caridade do Piauí,5.2
Castelo do Piauí,-
Castelo do Piauí,5.3
Castelo do Piauí,5.3
Caxingó,3.8
Caxingó,3.8
Cocal,5.6
Cocal,5.4
Cocal,5.6
Cocal de Telha,5.3
Cocal de Telha,5.3
Cocal dos Alves,7.3
Cocal dos Alves,5.9
Cocal dos Alves,6.4
Coivaras,4.8
Coivaras,4.8
Colônia do Gurguéia,-
Colônia do Gurguéia,4.3
Colônia do Gurguéia,4.3
Colônia do Piauí,-
Colônia do Piauí,4.5
Colônia do Piauí,4.5
Conceição do Canindé,-
Conceição do Canindé,4.9
Conceição do Canindé,4.9
Coronel José Dias,3.9
Coronel José Dias,3.9
Corrente,3.7
Corrente,3.7
Corrente,3.7
Cristalândia do Piauí,-
Cristalândia do Piauí,4.3
Cristalândia do Piauí,4.3
Cristino Castro,4.3
Cristino Castro,3
Cristino Castro,3.3
Curimatá,5.4
Curimatá,4.7
Curimatá,5.1
Currais,4
Currais,4
Curralinhos,4.3
Curralinhos,4.3
Curral Novo do Piauí,5
Curral Novo do Piauí,5
Demerval Lobão,-
Demerval Lobão,7
Demerval Lobão,5.6
Dirceu Arcoverde,5.3
Dirceu Arcoverde,-
Dirceu Arcoverde,4.7
Dom Expedito Lopes,-
Dom Expedito Lopes,5.3
Dom Expedito Lopes,5.3
Domingos Mourão,-
Domingos Mourão,6.1
Domingos Mourão,6.1
Dom Inocêncio,-
Dom Inocêncio,4.9
Dom Inocêncio,4.9
Elesbão Veloso,5.2
Elesbão Veloso,5.2
Elesbão Veloso,5.2
Eliseu Martins,-
Eliseu Martins,4.9
Eliseu Martins,4.9
Esperantina,5.3
Esperantina,4.7
Esperantina,4.8
Fartura do Piauí,5.1
Fartura do Piauí,3.3
Fartura do Piauí,4
Flores do Piauí,-
Flores do Piauí,4.4
Flores do Piauí,4.4
Floresta do Piauí,5.5
Floresta do Piauí,5.5
Floriano,5.5
Floriano,5.4
Floriano,5.4
Francinópolis,-
Francinópolis,4.7
Francinópolis,4.7
Francisco Ayres,-
Francisco Ayres,4.2
Francisco Ayres,4.2
Francisco Macedo,4.7
Francisco Macedo,4.7
Francisco Santos,5.4
Francisco Santos,5.2
Francisco Santos,5.3
Fronteiras,4.7
Fronteiras,4.7
Geminiano,4.4
Geminiano,4.4
Gilbués,4.5
Gilbués,2.3
Gilbués,3.7
Guadalupe,-
Guadalupe,4.1
Guadalupe,4.2
Guaribas,3.6
Guaribas,3.6
Hugo Napoleão,-
Hugo Napoleão,5
Hugo Napoleão,5
Ilha Grande,4.7
Ilha Grande,4.6
Ilha Grande,4.6
Inhuma,5.6
Inhuma,4.6
Inhuma,5.2
Ipiranga do Piauí,5.4
Ipiranga do Piauí,5.3
Ipiranga do Piauí,5.3
Isaías Coelho,4.7
Isaías Coelho,4.7
Itainópolis,4.4
Itainópolis,5.6
Itainópolis,5.3
Itaueira,5.2
Itaueira,3.6
Itaueira,4
Jacobina do Piauí,5
Jacobina do Piauí,5
Jaicós,5.4
Jaicós,5.2
Jaicós,5.2
Jardim do Mulato,-
Jardim do Mulato,4.8
Jardim do Mulato,4.8
Jatobá do Piauí,4.9
Jatobá do Piauí,4.9
Jerumenha,-
Jerumenha,-
Jerumenha,-
João Costa,3.4
João Costa,3.4
Joaquim Pires,5
Joaquim Pires,5.2
Joaquim Pires,5.2
Joca Marques,4
Joca Marques,4
José de Freitas,-
José de Freitas,4.1
José de Freitas,4.1
Juazeiro do Piauí,-
Juazeiro do Piauí,4.6
Juazeiro do Piauí,4.6
Júlio Borges,3.7
Júlio Borges,3.7
Jurema,4.2
Jurema,4.2
Lagoinha do Piauí,5
Lagoinha do Piauí,5
Lagoa Alegre,4.9
Lagoa Alegre,4.9
Lagoa do Barro do Piauí,4.4
Lagoa do Barro do Piauí,4.4
Lagoa de São Francisco,4.9
Lagoa de São Francisco,4.9
Lagoa do Piauí,4.1
Lagoa do Piauí,4.1
Lagoa do Sítio,4.3
Lagoa do Sítio,4.3
Landri Sales,-
Landri Sales,5.9
Landri Sales,5.9
Luís Correia,4.9
Luís Correia,4.3
Luís Correia,4.5
Luzilândia,4.3
Luzilândia,3.9
Luzilândia,3.9
Madeiro,4
Madeiro,4
Manoel Emídio,4.7
Manoel Emídio,4.2
Manoel Emídio,4.6
Marcolândia,-
Marcolândia,4.8
Marcolândia,4.8
Marcos Parente,5.3
Marcos Parente,5.3
Marcos Parente,5.2
Massapê do Piauí,-
Massapê do Piauí,-
Matias Olímpio,4
Matias Olímpio,3.9
Matias Olímpio,3.9
Miguel Alves,-
Miguel Alves,3.2
Miguel Alves,3.2
Miguel Leão,4.2
Miguel Leão,4.2
Milton Brandão,4.6
Milton Brandão,4.6
Monsenhor Gil,-
Monsenhor Gil,3.9
Monsenhor Gil,3.9
Monsenhor Hipólito,-
Monsenhor Hipólito,4.9
Monsenhor Hipólito,4.9
Monte Alegre do Piauí,-
Monte Alegre do Piauí,3.7
Monte Alegre do Piauí,3.7
Morro Cabeça no Tempo,3.9
Morro Cabeça no Tempo,3.9
Morro do Chapéu do Piauí,4.5
Morro do Chapéu do Piauí,4.5
Murici dos Portelas,3.3
Murici dos Portelas,3.3
Nazaré do Piauí,-
Nazaré do Piauí,4.4
Nazaré do Piauí,4.4
Nazária,-
Nazária,-
Nossa Senhora de Nazaré,4.4
Nossa Senhora de Nazaré,4.4
Nossa Senhora dos Remédios,-
Nossa Senhora dos Remédios,4.5
Nossa Senhora dos Remédios,4.5
Novo Oriente do Piauí,5
Novo Oriente do Piauí,-
Novo Oriente do Piauí,4
Novo Santo Antônio,5
Novo Santo Antônio,5
Oeiras,5.2
Oeiras,6
Oeiras,5.9
Olho D'Água do Piauí,4.6
Olho D'Água do Piauí,4.6
Padre Marcos,-
Padre Marcos,4.7
Padre Marcos,4.7
Paes Landim,-
Paes Landim,4.8
Paes Landim,4.8
Pajeú do Piauí,-
Pajeú do Piauí,5.6
Pajeú do Piauí,5.6
Palmeira do Piauí,-
Palmeira do Piauí,5.2
Palmeira do Piauí,5.1
Palmeirais,-
Palmeirais,3.9
Palmeirais,3.9
Paquetá,4.1
Paquetá,4.1
Parnaguá,3.8
Parnaguá,5.2
Parnaguá,4.5
Parnaíba,5.6
Parnaíba,4.8
Parnaíba,5.2
Passagem Franca do Piauí,-
Passagem Franca do Piauí,3.9
Passagem Franca do Piauí,3.9
Patos do Piauí,5
Patos do Piauí,5
Pau D'Arco do Piauí,5.8
Pau D'Arco do Piauí,5.8
Paulistana,-
Paulistana,4.5
Paulistana,4.5
Pavussu,-
Pavussu,4
Pavussu,4
Pedro II,5.6
Pedro II,4.6
Pedro II,4.8
Pedro Laurentino,4.1
Pedro Laurentino,4.1
Nova Santa Rita,3.9
Nova Santa Rita,3.9
Picos,5.1
Picos,4.4
Picos,4.8
Pimenteiras,4.8
Pimenteiras,-
Pimenteiras,4.1
Pio IX,5.6
Pio IX,4
Pio IX,4.8
Piracuruca,6.8
Piracuruca,4.9
Piracuruca,5.6
Piripiri,6.4
Piripiri,4.9
Piripiri,5.1
Porto,4.4
Porto,4.7
Porto,4.6
Porto Alegre do Piauí,4.8
Porto Alegre do Piauí,4.8
Prata do Piauí,5.1
Prata do Piauí,5.1
Queimada Nova,4.1
Queimada Nova,4.1
Redenção do Gurguéia,4.2
Redenção do Gurguéia,3.4
Redenção do Gurguéia,3.7
Regeneração,4.5
Regeneração,3.8
Regeneração,4
Riacho Frio,3.9
Riacho Frio,3.9
Ribeira do Piauí,4.7
Ribeira do Piauí,4.7
Ribeiro Gonçalves,4.5
Ribeiro Gonçalves,4.6
Ribeiro Gonçalves,4.5
Rio Grande do Piauí,5.5
Rio Grande do Piauí,4.6
Rio Grande do Piauí,5.1
Santa Cruz do Piauí,5.1
Santa Cruz do Piauí,4
Santa Cruz do Piauí,4.3
Santa Cruz dos Milagres,-
Santa Cruz dos Milagres,3.6
Santa Cruz dos Milagres,3.6
Santa Filomena,6.5
Santa Filomena,4.3
Santa Filomena,5.2
Santa Luz,5.2
Santa Luz,4.2
Santa Luz,4.5
Santana do Piauí,5.1
Santana do Piauí,5.1
Santa Rosa do Piauí,-
Santa Rosa do Piauí,-
Santa Rosa do Piauí,-
Santo Antônio de Lisboa,4.7
Santo Antônio de Lisboa,-
Santo Antônio de Lisboa,4.5
Santo Antônio dos Milagres,3.8
Santo Antônio dos Milagres,3.8
Santo Inácio do Piauí,-
Santo Inácio do Piauí,4.8
Santo Inácio do Piauí,4.8
São Braz do Piauí,-
São Braz do Piauí,5.1
São Braz do Piauí,5.1
São Félix do Piauí,-
São Félix do Piauí,5.5
São Félix do Piauí,5.5
São Francisco de Assis do Piauí,3.4
São Francisco de Assis do Piauí,3.4
São Francisco do Piauí,-
São Francisco do Piauí,5.3
São Francisco do Piauí,5.3
São Gonçalo do Gurguéia,4.1
São Gonçalo do Gurguéia,4.1
São Gonçalo do Piauí,5
São Gonçalo do Piauí,4.5
São Gonçalo do Piauí,4.7
São João da Canabrava,5.8
São João da Canabrava,5.8
São João da Fronteira,4.2
São João da Fronteira,4.2
São João da Serra,4.5
São João da Serra,4.9
São João da Serra,4.7
São João da Varjota,4.9
São João da Varjota,4.9
São João do Arraial,-
São João do Arraial,5.3
São João do Arraial,5.3
São João do Piauí,4.2
São João do Piauí,4.6
São João do Piauí,4.5
São José do Divino,-
São José do Divino,5.3
São José do Divino,5.3
São José do Peixe,4.4
São José do Peixe,4.4
São José do Piauí,4.9
São José do Piauí,4.1
São José do Piauí,4.7
São Julião,4.9
São Julião,4.2
São Julião,4.7
São Lourenço do Piauí,-
São Lourenço do Piauí,4.5
São Lourenço do Piauí,4.5
São Luis do Piauí,5.1
São Luis do Piauí,5.1
São Miguel da Baixa Grande,5.6
São Miguel da Baixa Grande,5.6
São Miguel do Fidalgo,4.8
São Miguel do Fidalgo,4.8
São Miguel do Tapuio,4.4
São Miguel do Tapuio,4.2
São Miguel do Tapuio,4.3
São Pedro do Piauí,5.5
São Pedro do Piauí,4.5
São Pedro do Piauí,5
São Raimundo Nonato,4.7
São Raimundo Nonato,4.3
São Raimundo Nonato,4.5
Sebastião Barros,3.8
Sebastião Barros,3.8
Sebastião Leal,-
Sebastião Leal,4.6
Sebastião Leal,4.6
Sigefredo Pacheco,5.4
Sigefredo Pacheco,5.4
Simões,6.1
Simões,5.6
Simões,5.8
Simplício Mendes,-
Simplício Mendes,4.9
Simplício Mendes,4.9
Socorro do Piauí,-
Socorro do Piauí,3.5
Socorro do Piauí,3.5
Sussuapara,5.4
Sussuapara,3.4
Sussuapara,4.3
Tamboril do Piauí,4.5
Tamboril do Piauí,4.5
Tanque do Piauí,5.8
Tanque do Piauí,5.8
Teresina,5.3
Teresina,5.8
Teresina,5.7
União,4.8
União,5.2
União,5.1
Uruçuí,5.1
Uruçuí,4.3
Uruçuí,4.7
Valença do Piauí,5.8
Valença do Piauí,3.8
Valença do Piauí,4.6
Várzea Branca,3.7
Várzea Branca,3.7
Várzea Grande,-
Várzea Grande,4.7
Várzea Grande,4.7
Vera Mendes,4.5
Vera Mendes,4.5
Vila Nova do Piauí,6
Vila Nova do Piauí,6
Wall Ferraz,4.9
Wall Ferraz,4.9
