Unidade Territorial,Populacao
ACAUÃ,6420
AGRICOLÂNDIA,4940
ÁGUA BRANCA,17573
ALAGOINHA DO PIAUÍ,6819
ALEGRETE DO PIAUÍ,4634
ALTO LONGÁ,13479
ALTOS,47453
ALVORADA DO GURGUÉIA,5322
AMARANTE,17234
ANGICAL DO PIAUÍ,6827
ANÍSIO DE ABREU,9407
ANTÔNIO ALMEIDA,3152
AROAZES,5369
AROEIRAS DO ITAIM,2690
ARRAIAL,4520
ASSUNÇÃO DO PIAUÍ,7452
AVELINO LOPES,10866
BAIXA GRANDE DO RIBEIRO,13272
BARRA D'ALCÂNTARA,3995
BARRAS,47938
BARREIRAS DO PIAUÍ,3264
BARRO DURO,6640
BATALHA,26300
BELA VISTA DO PIAUÍ,4091
BELÉM DO PIAUÍ,3423
BENEDITINOS,9929
BERTOLÍNIA,5562
BETÂNIA DO PIAUÍ,6220
BOA HORA,6902
BOCAINA,4078
BOM JESUS,28796
BOM PRINCÍPIO DO PIAUÍ,5636
BONFIM DO PIAUÍ,5913
BOQUEIRÃO DO PIAUÍ,6545
BRASILEIRA,8436
BREJO DO PIAUÍ,3904
BURITI DOS LOPES,19654
BURITI DOS MONTES,7434
CABECEIRAS DO PIAUÍ,10212
CAJAZEIRAS DO PIAUÍ,3108
CAJUEIRO DA PRAIA,7957
CALDEIRÃO GRANDE DO PIAUÍ,5503
CAMPINAS DO PIAUÍ,4938
CAMPO ALEGRE DO FIDALGO,4616
CAMPO GRANDE DO PIAUÍ,6020
CAMPO LARGO DO PIAUÍ,7419
CAMPO MAIOR,45793
CANAVIEIRA,3414
CANTO DO BURITI,19365
CAPITÃO DE CAMPOS,11100
CAPITÃO GERVÁSIO OLIVEIRA,3974
CARACOL,10318
CARAÚBAS DO PIAUÍ,5630
CARIDADE DO PIAUÍ,5033
CASTELO DO PIAUÍ,19288
CAXINGÓ,5496
COCAL,28212
COCAL DE TELHA,4911
COCAL DOS ALVES,6386
COIVARAS,4117
COLÔNIA DO GURGUÉIA,6150
COLÔNIA DO PIAUÍ,6994
CONCEIÇÃO DO CANINDÉ,4932
CORONEL JOSÉ DIAS,4250
CORRENTE,27278
CRISTALÂNDIA DO PIAUÍ,7356
CRISTINO CASTRO,10503
CURIMATÁ,11270
CURRAIS,4854
CURRALINHOS,4413
CURRAL NOVO DO PIAUÍ,5073
DEMERVAL LOBÃO,16352
DIRCEU ARCOVERDE,7054
DOM EXPEDITO LOPES,6320
DOMINGOS MOURÃO,4075
DOM INOCÊNCIO,9159
ELESBÃO VELOSO,13607
ELISEU MARTINS,4377
ESPERANTINA,40970
FARTURA DO PIAUÍ,5284
FLORES DO PIAUÍ,4414
FLORESTA DO PIAUÍ,2333
FLORIANO,62036
FRANCINÓPOLIS,4505
FRANCISCO AYRES,4412
FRANCISCO MACEDO,2929
FRANCISCO SANTOS,8237
FRONTEIRAS,10259
GEMINIANO,5445
GILBUÉS,10892
GUADALUPE,10270
GUARIBAS,4276
HUGO NAPOLEÃO,3518
ILHA GRANDE,9274
INHUMA,14958
IPIRANGA DO PIAUÍ,9420
ISAÍAS COELHO,7774
ITAINÓPOLIS,10790
ITAUEIRA,10323
JACOBINA DO PIAUÍ,5613
JAICÓS,17527
JARDIM DO MULATO,4180
JATOBÁ DO PIAUÍ,4494
JERUMENHA,4497
JOÃO COSTA,2970
JOAQUIM PIRES,13886
JOCA MARQUES,5394
JOSÉ DE FREITAS,42559
JUAZEIRO DO PIAUÍ,5214
JÚLIO BORGES,5388
JUREMA,4425
LAGOINHA DO PIAUÍ,2939
LAGOA ALEGRE,8256
LAGOA DO BARRO DO PIAUÍ,4995
LAGOA DE SÃO FRANCISCO,6331
LAGOA DO PIAUÍ,4810
LAGOA DO SÍTIO,4520
LANDRI SALES,5213
LUÍS CORREIA,30641
LUZILÂNDIA,25375
MADEIRO,8032
MANOEL EMÍDIO,5209
MARCOLÂNDIA,8533
MARCOS PARENTE,4724
MASSAPÊ DO PIAUÍ,5218
MATIAS OLÍMPIO,10641
MIGUEL ALVES,32150
MIGUEL LEÃO,1318
MILTON BRANDÃO,6542
MONSENHOR GIL,10255
MONSENHOR HIPÓLITO,7577
MONTE ALEGRE DO PIAUÍ,10660
MORRO CABEÇA NO TEMPO,4377
MORRO DO CHAPÉU DO PIAUÍ,6425
MURICI DOS PORTELAS,9797
NAZARÉ DO PIAUÍ,6665
NAZÁRIA,10262
NOSSA SENHORA DE NAZARÉ,5228
NOSSA SENHORA DOS REMÉDIOS,8525
NOVO ORIENTE DO PIAUÍ,6097
NOVO SANTO ANTÔNIO,2827
OEIRAS,38161
OLHO D'ÁGUA DO PIAUÍ,2637
PADRE MARCOS,6382
PAES LANDIM,4088
PAJEÚ DO PIAUÍ,3000
PALMEIRA DO PIAUÍ,4952
PALMEIRAIS,13264
PAQUETÁ,3813
PARNAGUÁ,10103
PARNAÍBA,162159
PASSAGEM FRANCA DO PIAUÍ,4135
PATOS DO PIAUÍ,5425
PAU D'ARCO DO PIAUÍ,3880
PAULISTANA,21055
PAVUSSU,3628
PEDRO II,37894
PEDRO LAURENTINO,2458
NOVA SANTA RITA,4076
PICOS,83090
PIMENTEIRAS,11341
PIO IX,17613
PIRACURUCA,28846
PIRIPIRI,65538
PORTO,12052
PORTO ALEGRE DO PIAUÍ,2364
PRATA DO PIAUÍ,3042
QUEIMADA NOVA,8738
REDENÇÃO DO GURGUÉIA,8394
REGENERAÇÃO,17133
RIACHO FRIO,4165
RIBEIRA DO PIAUÍ,4055
RIBEIRO GONÇALVES,6164
RIO GRANDE DO PIAUÍ,5801
SANTA CRUZ DO PIAUÍ,5831
SANTA CRUZ DOS MILAGRES,3435
SANTA FILOMENA,6087
SANTA LUZ,5336
SANTANA DO PIAUÍ,4125
SANTA ROSA DO PIAUÍ,4650
SANTO ANTÔNIO DE LISBOA,5839
SANTO ANTÔNIO DOS MILAGRES,2138
SANTO INÁCIO DO PIAUÍ,3646
SÃO BRAZ DO PIAUÍ,4358
SÃO FÉLIX DO PIAUÍ,2842
SÃO FRANCISCO DE ASSIS DO PIAUÍ,5572
SÃO FRANCISCO DO PIAUÍ,5392
SÃO GONÇALO DO GURGUÉIA,2947
SÃO GONÇALO DO PIAUÍ,4837
SÃO JOÃO DA CANABRAVA,4242
SÃO JOÃO DA FRONTEIRA,5522
SÃO JOÃO DA SERRA,6114
SÃO JOÃO DA VARJOTA,4383
SÃO JOÃO DO ARRAIAL,8186
SÃO JOÃO DO PIAUÍ,21421
SÃO JOSÉ DO DIVINO,4841
SÃO JOSÉ DO PEIXE,3297
SÃO JOSÉ DO PIAUÍ,6597
SÃO JULIÃO,6025
SÃO LOURENÇO DO PIAUÍ,4410
SÃO LUIS DO PIAUÍ,2309
SÃO MIGUEL DA BAIXA GRANDE,2269
SÃO MIGUEL DO FIDALGO,2829
SÃO MIGUEL DO TAPUIO,17554
SÃO PEDRO DO PIAUÍ,13755
SÃO RAIMUNDO NONATO,38934
SEBASTIÃO BARROS,3202
SEBASTIÃO LEAL,4446
SIGEFREDO PACHECO,9460
SIMÕES,14350
SIMPLÍCIO MENDES,13870
SOCORRO DO PIAUÍ,4141
SUSSUAPARA,6220
TAMBORIL DO PIAUÍ,2949
TANQUE DO PIAUÍ,2316
TERESINA,866300
UNIÃO,46119
URUÇUÍ,25203
VALENÇA DO PIAUÍ,22279
VÁRZEA BRANCA,5055
VÁRZEA GRANDE,4417
VERA MENDES,3185
VILA NOVA DO PIAUÍ,2935
WALL FERRAZ,4059
